"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
5,rate of interest is too high,8,Passive,No positive reason
10,jarurat ke time par loan mil jata,10,Promoters,I received the loan from HC when I was in need
5,rate of interest is too high,2,Detractor,No positive reason
9,fast process hai customer care service is also good,9,Promoters,Overall satisfaction – Everything was ok/without problems
9,"easy application process , you will get loan very easily",10,Promoters,I received the loan from HC when I was in need
9,"Home Credit service is good, offers keep coming but offer was not selected.",10,Promoters,"Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process"
9,fast process hai,10,Promoters,"Less Documents required for taking a loan / convenient loan application process|I trust HC / I know this company|Application Process - Easy, Fast and Convenient"
9,"quick loan approval , you will get instant loan",8,Passive,No positive reason
9,"Personal Loan Service achhi laggi aur Home Credit ki fast Service hai, Jaldi Loan mill jata hai.",10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
9,JALDIE LOAN MIL GYA,10,Promoters,Already recommended to my friends
9,Home Credit Team does not take much time to give loan to the customer,10,Promoters,Already recommended to my friends|I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
9,You get money on time through home credit,10,Promoters,I received the loan from HC when I was in need
9,loan time se mill gaya,10,Promoters,Customer care service is good
5,Home Credit ka Interest Rate bhut jayda hai bakiyo ke mukewale.,3,Detractor,No positive reason
9,"quick loan approval , fast service",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process|I received the loan from HC when I was in need
9,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,customer service ache hai,9,Promoters,"Application Process - Easy, Fast and Convenient"
10,time period of loan amount is good in home credit,10,Promoters,"Affordable Product & Services - Price, fees and terms"
9,Home Credit me Loan Approval bhut jaldi aa gya tha.,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
10,"FAST PROCESS HAI , AUR KAHI SE LOAN NHI MILA HOME CREDIT NE LOAN DIYA",10,Promoters,"Already recommended to my friends|Application Process - Easy, Fast and Convenient|I received the loan from HC when I was in need"
10,"There is no time taken in giving home credit loan, the loan is available immediately.",10,Promoters,I received the loan from HC when I was in need
4,Interest Rate bhut jyada hai aur annual charge bhi laga diya gya Home Credit ki taraf se.,7,Passive,No positive reason
10,get loan when they need,10,Promoters,Already recommended to my friends
8,negative :  More calls and messages are coming,8,Passive,Quick loan approvals / Higher chances of loan getting approved
6,Customer's extra charge is being deducted,8,Passive,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
10,call reminder service is very good in home credit,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
10,"service , fast loan get",8,Passive,"Overall satisfaction – Everything was ok/without problems|Customer care service is good|Application Process - Easy, Fast and Convenient"
10,quick loan approval and payment process is easy,10,Promoters,I received the loan from HC when I was in need
10,FAST PROCESS HAI,10,Promoters,"Application Process - Easy, Fast and Convenient"
8,Do you have to pay extra money to repay the home credit loan.,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,customer ko jaldi loan mill gaya,7,Passive,No positive reason
10,turant loan ho jata hai,9,Promoters,Overall satisfaction – Everything was ok/without problems
8,Calls start coming 10 days before the due date and the customer becomes very irritated.,5,Detractor,No positive reason
10,"interest low , fast",8,Passive,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient|Customer care service is good"
9,The collection process is quite easy and the application process is also quite easy,10,Promoters,"Less Documents required for taking a loan / convenient loan application process|Application Process - Easy, Fast and Convenient"
9,"The loan comes quickly, overall that's good for me",8,Passive,Overall satisfaction – Everything was ok/without problems
1,"Loans that appear eligible are not available.
Home grade system is not good.",0,Detractor,No positive reason
9,Jarurat ke time par Loan mill gaya tha aur Home Credit ki Sabhi Service achhi laggi.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
9,JARURAT KE TIME PAR LOAN MIL JATA,10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient"
10,need ke according loan mil gaya.,10,Promoters,I received the loan from HC when I was in need
7,Home Credit ki taraf se bhut jyada Interest rate lagaya jata hai.,7,Passive,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need|Others
10,over all service ache lage,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,Executive provide information very nicely to customer,10,Promoters,"Affordable Product & Services - Price, fees and terms|Quick loan approvals / Higher chances of loan getting approved"
10,home credit is good brand,8,Passive,Overall satisfaction – Everything was ok/without problems
8,Interest rate is very high please increase low that's better,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,instant approval instant disbursement,10,Promoters,Already recommended to my friends
9,TIME PER LOAN MIL JATA HAI.,7,Passive,No positive reason
9,Customer care service is good,9,Promoters,Overall satisfaction – Everything was ok/without problems|Customer care service is good
8,INTEREST RATE JADA HAI,7,Passive,I received the loan from HC when I was in need
9,Quick loan approvals  ....service good,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,CALLS AATE HAI BHOT JADA LOAN KE LIY,8,Passive,"Already recommended to my friends|I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient"
9,jaldi loan mil jada hai,9,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
9,personal loan service and quick loan approval,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
