"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-,Other Choice-Others,"Neutral Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,"Negative Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,Have you had any positive experience in using Home Credit services during the last year?,What specifically pleased you?,Have you had any Negative experience in using Home Credit services during the last year?,What problem(s) was it? Why were you not satisfied?,Please share your suggestions on how Home Credit can improve its products and services.
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,CUSTOBER CARE ME CALL JALDIE CONNNECT HONIE CHYIE
5,rate of interest is too high,8,Passive,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,quick loan approval as you can get instant loan in home credit,No,,interest rate should be reduced
10,jarurat ke time par loan mil jata,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,jarurat ke time par loan mil jata,No,,no suggestion
5,rate of interest is too high,2,Detractor,No positive reason,,,,No neutral reason,,,"High interest rate|Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,get loan when they need,No,,rate of interest should be reduced
9,fast process hai customer care service is also good,9,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,zada call karke preshan nhi kiya jata ye khas laga,No,,no suggestion
9,"easy application process , you will get loan very easily",10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,less documentation is the best  in home credit,No,,no suggestion
9,"Home Credit service is good, offers keep coming but offer was not selected.",10,Promoters,"Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process",,,,No neutral reason,,,No negative reason,,,Yes,Home Credit's service is best,No,,no suggestion
9,fast process hai,10,Promoters,"Less Documents required for taking a loan / convenient loan application process|I trust HC / I know this company|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,fast application process,No,,interest rate jada hai kam hona chahiye
9,"quick loan approval , you will get instant loan",8,Passive,No positive reason,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,Yes,quick loan approval and less documnetation,No,,no suggestion
9,"Personal Loan Service achhi laggi aur Home Credit ki fast Service hai, Jaldi Loan mill jata hai.",10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,No,,No,,No Suggestion
9,JALDIE LOAN MIL GYA,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,JALDIE LOAN MIL GYA,No,,CUSTOBER KE LIYE INTEREST THODA KAM KIYA JAYE
