,
Mean score,Total
Base,69
Responsiveness,3.49
Team expertise in challenge resolution,3.58
Platform user-friendliness ,3.74
Platform stability,3.67
Product functionality/innovation attributes,3.45
Platform lifecycle processes,3.17
Delivered business value,3.59
Overall engagement with key stakeholders,3.49
Overall satisfaction from platform,3.82
NPS,6.61
,
,
,
"People who have answered 5, needs to be captured in terms of %",Total
Base,69
Responsiveness,21.74%
Team expertise in challenge resolution,21.74%
Platform user-friendliness ,21.74%
Platform stability,24.64%
Product functionality/innovation attributes,13.04%
Platform lifecycle processes,11.59%
Delivered business value,15.94%
Overall engagement with key stakeholders,20.29%
,
,
,
"Sum of people who have answered 1 or 2, needs to be captured in terms of %",Total
Base,69
Responsiveness,21.74%
Team expertise in challenge resolution,15.94%
Platform user-friendliness ,7.25%
Platform stability,15.94%
Product functionality/innovation attributes,17.39%
Platform lifecycle processes,28.99%
Delivered business value,13.04%
Overall engagement with key stakeholders,15.94%
,
,
,Total
Base,69
Customer support,17%
Customer support & Platform features,1%
"Customer support, Platform performance, Platform features, User interface",1%
Legal compliance,1%
N/A,23%
Platform features,13%
"Platform features, Customer support",1%
Platform performance,12%
Platform performance & Price/subscription,1%
Price/Subscription,14%
"Price/Subscription, Customer Support",1%
Reporting,3%
Roadmap and Communication,3%
User interface,6%
,
,
,
Issues,Total
Base,69
Customer support,23%
Platform features,17%
Platform performance,14%
Price/Subscription,17%
Legal compliance,1%
Reporting,3%
Roadmap and Communication,3%
User interface,7%
N/A,23%
, 
,
,
What are we doing good,Total
Base,69
Customer support,23%
N/A,29%
Platform features,19%
Platform performance,14%
"Platform performance, Customer support",1%
"Platform performance, User experience",3%
Price/Subscription,3%
Reporting,4%
User interface,3%
,
,
,
What are we doing good,Total
Base,69
Customer support,25%
Platform features,19%
Platform performance,19%
Price/Subscription,3%
Reporting,4%
User interface,6%
N/A,29%
